country_region_code,country_region,sub_region_1,sub_region_2,date,解析日,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,VAR00002,VAR00003,VAR00004,VAR00005,VAR00006,VAR00007
JP,Japan,Hokkaido, ,4/1/2020, ,-7,7,3,-22,-7,4, , , , , , 
JP,Japan,Hokkaido, ,4/2/2020, ,-12,-1,-13,-25,-8,6, , , , , , 
JP,Japan,Hokkaido, ,4/3/2020, ,-10,2,5,-25,-8,5, , , , , , 
JP,Japan,Hokkaido, ,4/4/2020, ,-12,5,1,-31,-6,6, , , , , , 
JP,Japan,Hokkaido, ,4/5/2020, ,-14,2,-16,-36,-11,5, , , , , , 
JP,Japan,Hokkaido, ,4/6/2020, ,-11,-2,-12,-23,-9,5, , , , , , 
JP,Japan,Hokkaido, ,4/7/2020, ,-11,4,-9,-25,-9,5, , , , , , 
JP,Japan,Hokkaido, ,4/8/2020, ,-11,-1,4,-24,-8,5, , , , , , 
JP,Japan,Hokkaido, ,4/9/2020, ,-19,-3,-20,-26,-8,6, , , , , , 
JP,Japan,Hokkaido, ,4/10/2020, ,-16,8,-13,-27,-7,5, , , , , , 
JP,Japan,Hokkaido, ,4/11/2020, ,-17,3,-8,-39,-12,7, , , , , , 
JP,Japan,Hokkaido, ,4/12/2020, ,-18,2,12,-37,-12,5, , , , , , 
JP,Japan,Hokkaido, ,4/13/2020, ,-16,-2,7,-26,-7,4, , , , , , 
JP,Japan,Hokkaido, ,4/14/2020, ,-17,-1,3,-31,-9,6, , , , , , 
JP,Japan,Hokkaido, ,4/15/2020, ,-14,6,0,-31,-9,6, , , , , , 
JP,Japan,Hokkaido, ,4/16/2020, ,-17,4,-2,-32,-10,6, , , , , , 
JP,Japan,Hokkaido, ,4/17/2020, ,-20,6,12,-34,-10,6, , , , , , 
JP,Japan,Hokkaido, ,4/18/2020, ,-32,-1,-3,-45,-12,9, , , , , , 
JP,Japan,Hokkaido, ,4/19/2020, ,-32,-3,22,-45,-18,7, , , , , , 
JP,Japan,Hokkaido, ,4/20/2020, ,-29,-2,-21,-39,-14,8, , , , , , 
JP,Japan,Hokkaido, ,4/21/2020, ,-28,0,-12,-41,-17,9, , , , , , 
JP,Japan,Hokkaido, ,4/22/2020, ,-29,-5,-8,-43,-18,10, , , , , , 
JP,Japan,Hokkaido, ,4/23/2020, ,-32,-3,-16,-43,-18,11, , , , , , 
JP,Japan,Hokkaido, ,4/24/2020, ,-29,4,-4,-43,-18,10, , , , , , 
JP,Japan,Hokkaido, ,4/25/2020, ,-37,-1,-16,-51,-21,11, , , , , , 
JP,Japan,Hokkaido, ,4/26/2020, ,-41,-10,-35,-57,-26,10, , , , , , 
JP,Japan,Hokkaido, ,4/27/2020, ,-27,-1,-7,-43,-20,10, , , , , , 
JP,Japan,Hokkaido, ,4/28/2020, ,-24,3,3,-42,-21,9, , , , , , 
JP,Japan,Hokkaido, ,4/29/2020, ,-29,-10,-18,-64,-61,19, , , , , , 
JP,Japan,Hokkaido, ,4/30/2020, ,-23,7,22,-42,-24,11, , , , , , 
JP,Japan,Hokkaido, ,5/1/2020, ,-30,5,5,-48,-27,13, , , , , , 
JP,Japan,Hokkaido, ,5/2/2020, ,-39,-4,10,-52,-26,12, , , , , , 
JP,Japan,Hokkaido, ,5/3/2020, ,-39,-7,30,-49,-27,8, , , , , , 
JP,Japan,Hokkaido, ,5/4/2020, ,-25,-7,9,-64,-69,23, , , , , , 
JP,Japan,Hokkaido, ,5/5/2020, ,-19,3,17,-62,-69,23, , , , , , 
JP,Japan,Hokkaido, ,5/6/2020, ,-34,-15,-25,-67,-67,24, , , , , , 
JP,Japan,Hokkaido, ,5/7/2020, ,-28,1,8,-42,-18,10, , , , , , 
JP,Japan,Hokkaido, ,5/8/2020, ,-30,1,23,-43,-19,10, , , , , , 
JP,Japan,Hokkaido, ,5/9/2020, ,-32,-1,25,-48,-17,9, , , , , , 
JP,Japan,Hokkaido, ,5/10/2020, ,-38,-11,-49,-59,-24,10, , , , , , 
JP,Japan,Hokkaido, ,5/11/2020, ,-28,-3,-3,-41,-17,9, , , , , , 
JP,Japan,Hokkaido, ,5/12/2020, ,-28,3,16,-40,-19,9, , , , , , 
JP,Japan,Hokkaido, ,5/13/2020, ,-28,-6,-1,-43,-19,10, , , , , , 
JP,Japan,Hokkaido, ,5/14/2020, ,-26,0,12,-42,-18,9, , , , , , 
JP,Japan,Hokkaido, ,5/15/2020, ,-27,4,22,-42,-18,9, , , , , , 
JP,Japan,Hokkaido, ,5/16/2020, ,-30,-2,-2,-49,-16,9, , , , , , 
JP,Japan,Hokkaido, ,5/17/2020, ,-30,-5,0,-50,-22,8, , , , , , 
JP,Japan,Hokkaido, ,5/18/2020, ,-26,-3,8,-41,-16,8, , , , , , 
JP,Japan,Hokkaido, ,5/19/2020, ,-26,0,11,-41,-17,9, , , , , , 
JP,Japan,Hokkaido, ,5/20/2020, ,-24,1,3,-40,-17,9, , , , , , 
JP,Japan,Hokkaido, ,5/21/2020, ,-24,2,15,-38,-17,9, , , , , , 
JP,Japan,Hokkaido, ,5/22/2020, ,-28,-1,4,-40,-16,9, , , , , , 
JP,Japan,Hokkaido, ,5/23/2020, ,-26,0,8,-44,-18,9, , , , , , 
JP,Japan,Hokkaido, ,5/24/2020, ,-27,-4,14,-43,-21,7, , , , , , 
JP,Japan,Hokkaido, ,5/25/2020, ,-20,4,-2,-36,-15,7, , , , , , 
JP,Japan,Hokkaido, ,5/26/2020, ,-20,3,11,-35,-14,7, , , , , , 
JP,Japan,Hokkaido, ,5/27/2020, ,-22,-5,-20,-37,-15,9, , , , , , 
JP,Japan,Hokkaido, ,5/28/2020, ,-18,4,13,-33,-13,7, , , , , , 
JP,Japan,Hokkaido, ,5/29/2020, ,-19,4,22,-33,-12,7, , , , , , 
JP,Japan,Hokkaido, ,5/30/2020, ,-17,8,38,-31,-10,6, , , , , , 
JP,Japan,Hokkaido, ,5/31/2020, ,-16,4,41,-28,-14,4, , , , , , 
JP,Japan,Hokkaido, ,6/1/2020, ,-13,6,21,-24,-7,4, , , , , , 
JP,Japan,Hokkaido, ,6/2/2020, ,-15,1,6,-26,-9,5, , , , , , 
JP,Japan,Hokkaido, ,6/3/2020, ,-14,-1,18,-26,-9,5, , , , , , 
JP,Japan,Hokkaido, ,6/4/2020, ,-16,1,12,-26,-8,5, , , , , , 
JP,Japan,Hokkaido, ,6/5/2020, ,-15,3,14,-28,-8,5, , , , , , 
JP,Japan,Hyogo, ,2/15/2020, ,-2,3,2,-3,2,0, , , , , , 
JP,Japan,Hyogo, ,2/16/2020, ,-11,-9,-48,-13,-2,3, , , , , , 
JP,Japan,Hyogo, ,2/17/2020, ,-2,1,-5,-1,1,1, , , , , , 
JP,Japan,Hyogo, ,2/18/2020, ,-2,3,3,-3,0,1, , , , , , 
JP,Japan,Hyogo, ,2/19/2020, ,0,1,8,-3,0,0, , , , , , 
JP,Japan,Hyogo, ,2/20/2020, ,2,4,5,-1,0,0, , , , , , 
JP,Japan,Hyogo, ,2/21/2020, ,-1,1,9,1,1,1, , , , , , 
JP,Japan,Hyogo, ,2/22/2020, ,-8,-4,-25,-7,-3,2, , , , , , 
JP,Japan,Hyogo, ,2/23/2020, ,3,5,19,4,0,-1, , , , , , 
JP,Japan,Hyogo, ,2/24/2020, ,23,5,64,-22,-56,14, , , , , , 
JP,Japan,Hyogo, ,2/25/2020, ,-1,5,3,-1,1,0, , , , , , 
JP,Japan,Hyogo, ,2/26/2020, ,-2,2,1,-3,1,1, , , , , , 
JP,Japan,Hyogo, ,2/27/2020, ,-2,5,-4,-5,1,1, , , , , , 
JP,Japan,Hyogo, ,2/28/2020, ,0,13,-2,-9,1,2, , , , , , 
JP,Japan,Hyogo, ,2/29/2020, ,-10,5,-37,-25,1,4, , , , , , 
JP,Japan,Hyogo, ,3/1/2020, ,-6,14,-9,-24,2,3, , , , , , 
JP,Japan,Hyogo, ,3/2/2020, ,-6,8,6,-12,2,2, , , , , , 
JP,Japan,Hyogo, ,3/3/2020, ,-3,10,14,-16,-2,3, , , , , , 
JP,Japan,Hyogo, ,3/4/2020, ,-15,-6,-32,-20,-4,5, , , , , , 
JP,Japan,Hyogo, ,3/5/2020, ,-6,6,-6,-18,-3,4, , , , , , 
JP,Japan,Hyogo, ,3/6/2020, ,-8,4,9,-18,-3,4, , , , , , 
JP,Japan,Hyogo, ,3/7/2020, ,-11,3,2,-28,-5,5, , , , , , 
JP,Japan,Hyogo, ,3/8/2020, ,-15,-1,-40,-34,-6,6, , , , , , 
JP,Japan,Hyogo, ,3/9/2020, ,-6,3,22,-14,-1,3, , , , , , 
JP,Japan,Hyogo, ,3/10/2020, ,-11,-2,-25,-20,-6,5, , , , , , 
JP,Japan,Hyogo, ,3/11/2020, ,-5,4,11,-16,-4,4, , , , , , 
JP,Japan,Hyogo, ,3/12/2020, ,-3,6,20,-16,-4,3, , , , , , 
JP,Japan,Hyogo, ,3/13/2020, ,-6,4,15,-17,-3,4, , , , , , 
JP,Japan,Hyogo, ,3/14/2020, ,-13,-3,-41,-31,-7,7, , , , , , 
JP,Japan,Hyogo, ,3/15/2020, ,-8,6,-5,-27,-3,4, , , , , , 
JP,Japan,Hyogo, ,3/16/2020, ,-8,0,-9,-16,-2,4, , , , , , 
JP,Japan,Hyogo, ,3/17/2020, ,-3,5,21,-15,-3,3, , , , , , 
JP,Japan,Hyogo, ,3/18/2020, ,-3,3,21,-14,-3,3, , , , , , 
JP,Japan,Hyogo, ,3/19/2020, ,5,8,21,-9,-3,2, , , , , , 
JP,Japan,Hyogo, ,3/20/2020, ,10,10,49,-35,-55,17, , , , , , 
JP,Japan,Hyogo, ,3/21/2020, ,-8,6,29,-23,-8,4, , , , , , 
JP,Japan,Hyogo, ,3/22/2020, ,-11,2,-2,-25,-4,4, , , , , , 
JP,Japan,Hyogo, ,3/23/2020, ,-3,2,19,-12,-2,3, , , , , , 
JP,Japan,Hyogo, ,3/24/2020, ,-2,4,17,-15,-3,3, , , , , , 
JP,Japan,Hyogo, ,3/25/2020, ,1,6,25,-11,-3,3, , , , , , 
JP,Japan,Hyogo, ,3/26/2020, ,0,11,26,-12,-4,3, , , , , , 
JP,Japan,Hyogo, ,3/27/2020, ,-14,-5,-35,-19,-6,7, , , , , , 
JP,Japan,Hyogo, ,3/28/2020, ,-15,1,-30,-31,-6,6, , , , , , 
JP,Japan,Hyogo, ,3/29/2020, ,-12,5,-10,-31,-4,5, , , , , , 
JP,Japan,Hyogo, ,3/30/2020, ,-5,5,5,-16,-4,4, , , , , , 
JP,Japan,Hyogo, ,3/31/2020, ,-3,7,24,-17,-5,4, , , , , , 
JP,Japan,Hyogo, ,4/1/2020, ,-20,-8,-34,-23,-8,6, , , , , , 
JP,Japan,Hyogo, ,4/2/2020, ,-9,9,19,-20,-7,5, , , , , , 
JP,Japan,Hyogo, ,4/3/2020, ,-12,7,31,-21,-7,6, , , , , , 
JP,Japan,Hyogo, ,4/4/2020, ,-15,9,42,-34,-11,7, , , , , , 
JP,Japan,Hyogo, ,4/5/2020, ,-18,6,14,-39,-11,6, , , , , , 
JP,Japan,Hyogo, ,4/6/2020, ,-10,11,27,-20,-6,5, , , , , , 
JP,Japan,Hyogo, ,4/7/2020, ,-11,10,23,-24,-9,6, , , , , , 
JP,Japan,Hyogo, ,4/8/2020, ,-22,3,19,-30,-15,8, , , , , , 
JP,Japan,Hyogo, ,4/9/2020, ,-24,4,19,-34,-17,10, , , , , , 
JP,Japan,Hyogo, ,4/10/2020, ,-28,5,5,-37,-17,11, , , , , , 
JP,Japan,Hyogo, ,4/11/2020, ,-31,7,7,-51,-24,12, , , , , , 
JP,Japan,Hyogo, ,4/12/2020, ,-49,-18,-74,-65,-28,14, , , , , , 
JP,Japan,Hyogo, ,4/13/2020, ,-37,-9,-46,-42,-20,13, , , , , , 
JP,Japan,Hyogo, ,4/14/2020, ,-25,7,22,-40,-21,11, , , , , , 
JP,Japan,Hyogo, ,4/15/2020, ,-25,7,21,-40,-23,12, , , , , , 
JP,Japan,Hyogo, ,4/16/2020, ,-28,7,20,-42,-24,13, , , , , , 
JP,Japan,Hyogo, ,4/17/2020, ,-31,6,9,-45,-25,15, , , , , , 
JP,Japan,Hyogo, ,4/18/2020, ,-43,-7,-34,-58,-28,15, , , , , , 
JP,Japan,Hyogo, ,4/19/2020, ,-41,-3,-11,-57,-27,11, , , , , , 
JP,Japan,Hyogo, ,4/20/2020, ,-33,-1,-7,-43,-23,14, , , , , , 
JP,Japan,Hyogo, ,4/21/2020, ,-32,1,17,-44,-25,13, , , , , , 
JP,Japan,Hyogo, ,4/22/2020, ,-34,-3,4,-46,-26,14, , , , , , 
JP,Japan,Hyogo, ,4/23/2020, ,-36,-2,-1,-46,-27,15, , , , , , 
JP,Japan,Hyogo, ,4/24/2020, ,-37,1,-5,-46,-26,16, , , , , , 
JP,Japan,Hyogo, ,4/25/2020, ,-39,-1,-1,-54,-27,13, , , , , , 
JP,Japan,Hyogo, ,4/26/2020, ,-44,-7,-19,-59,-28,12, , , , , , 
JP,Japan,Hyogo, ,4/27/2020, ,-32,-1,8,-43,-24,14, , , , , , 
JP,Japan,Hyogo, ,4/28/2020, ,-27,4,18,-44,-26,13, , , , , , 
JP,Japan,Hyogo, ,4/29/2020, ,-26,-3,30,-63,-66,22, , , , , , 
JP,Japan,Hyogo, ,4/30/2020, ,-26,7,14,-46,-33,16, , , , , , 
JP,Japan,Hyogo, ,5/1/2020, ,-32,4,12,-49,-36,19, , , , , , 
JP,Japan,Hyogo, ,5/2/2020, ,-41,-3,-5,-55,-30,14, , , , , , 
JP,Japan,Hyogo, ,5/3/2020, ,-46,-11,-38,-62,-31,13, , , , , , 
JP,Japan,Hyogo, ,5/4/2020, ,-24,-2,21,-65,-72,28, , , , , , 
JP,Japan,Hyogo, ,5/5/2020, ,-20,4,44,-63,-72,27, , , , , , 
JP,Japan,Hyogo, ,5/6/2020, ,-30,-6,7,-66,-70,27, , , , , , 
JP,Japan,Hyogo, ,5/7/2020, ,-30,1,8,-41,-23,13, , , , , , 
JP,Japan,Hyogo, ,5/8/2020, ,-34,2,8,-43,-24,15, , , , , , 
JP,Japan,Hyogo, ,5/9/2020, ,-41,-3,-24,-54,-21,13, , , , , , 
JP,Japan,Hyogo, ,5/10/2020, ,-42,-6,-42,-59,-26,12, , , , , , 
JP,Japan,Hyogo, ,5/11/2020, ,-32,1,9,-38,-20,12, , , , , , 
JP,Japan,Hyogo, ,5/12/2020, ,-31,4,17,-40,-23,12, , , , , , 
JP,Japan,Hyogo, ,5/13/2020, ,-30,1,12,-40,-24,13, , , , , , 
JP,Japan,Hyogo, ,5/14/2020, ,-30,3,11,-41,-23,12, , , , , , 
JP,Japan,Hyogo, ,5/15/2020, ,-34,3,-4,-43,-23,15, , , , , , 
JP,Japan,Hyogo, ,5/16/2020, ,-43,-11,-60,-58,-26,15, , , , , , 
JP,Japan,Hyogo, ,5/17/2020, ,-35,2,-11,-52,-21,10, , , , , , 
JP,Japan,Hyogo, ,5/18/2020, ,-35,-7,-17,-40,-20,13, , , , , , 
JP,Japan,Hyogo, ,5/19/2020, ,-29,3,-1,-40,-21,12, , , , , , 
JP,Japan,Hyogo, ,5/20/2020, ,-24,7,13,-38,-21,12, , , , , , 
JP,Japan,Hyogo, ,5/21/2020, ,-24,4,12,-37,-21,12, , , , , , 
JP,Japan,Hyogo, ,5/22/2020, ,-26,2,7,-37,-20,13, , , , , , 
JP,Japan,Hyogo, ,5/23/2020, ,-24,5,5,-43,-20,10, , , , , , 
JP,Japan,Hyogo, ,5/24/2020, ,-25,3,-2,-44,-18,8, , , , , , 
JP,Japan,Hyogo, ,5/25/2020, ,-20,5,10,-31,-16,10, , , , , , 
JP,Japan,Hyogo, ,5/26/2020, ,-24,0,-9,-34,-17,10, , , , , , 
JP,Japan,Hyogo, ,5/27/2020, ,-18,5,14,-31,-17,9, , , , , , 
JP,Japan,Hyogo, ,5/28/2020, ,-18,6,14,-31,-17,9, , , , , , 
JP,Japan,Hyogo, ,5/29/2020, ,-20,5,11,-31,-16,10, , , , , , 
JP,Japan,Hyogo, ,5/30/2020, ,-20,7,8,-37,-16,8, , , , , , 
JP,Japan,Hyogo, ,5/31/2020, ,-26,1,-40,-45,-17,8, , , , , , 
JP,Japan,Hyogo, ,6/1/2020, ,-20,3,6,-23,-9,7, , , , , , 
JP,Japan,Hyogo, ,6/2/2020, ,-18,6,12,-25,-11,7, , , , , , 
JP,Japan,Hyogo, ,6/3/2020, ,-18,4,11,-25,-12,7, , , , , , 
JP,Japan,Hyogo, ,6/4/2020, ,-18,5,6,-25,-12,7, , , , , , 
JP,Japan,Hyogo, ,6/5/2020, ,-18,4,6,-27,-13,8, , , , , , 
JP,Japan,Ibaraki, ,2/15/2020, ,2,4,15,-2,5,0, , , , , , 
JP,Japan,Ibaraki, ,2/16/2020, ,-8,-4,-36,-13,-1,3, , , , , , 
JP,Japan,Ibaraki, ,2/17/2020, ,-3,-1,-14,0,0,1, , , , , , 
JP,Japan,Ibaraki, ,2/18/2020, ,3,2,3,-1,1,0, , , , , , 
JP,Japan,Ibaraki, ,2/19/2020, ,1,2,19,-1,1,0, , , , , , 
JP,Japan,Ibaraki, ,2/20/2020, ,2,4,-2,-1,0,1, , , , , , 
JP,Japan,Ibaraki, ,2/21/2020, ,-2,3,11,-1,0,1, , , , , , 
JP,Japan,Ibaraki, ,2/22/2020, ,-1,3,-4,-2,1,1, , , , , , 
JP,Japan,Ibaraki, ,2/23/2020, ,3,7,32,13,1,0, , , , , , 
JP,Japan,Ibaraki, ,2/24/2020, ,33,5,76,-13,-54,14, , , , , , 
JP,Japan,Ibaraki, ,2/25/2020, ,1,5,-6,0,1,0, , , , , , 
JP,Japan,Ibaraki, ,2/26/2020, ,-1,3,-4,-4,1,1, , , , , , 
JP,Japan,Ibaraki, ,2/27/2020, ,1,6,-4,-4,1,1, , , , , , 
JP,Japan,Ibaraki, ,2/28/2020, ,3,20,4,-12,2,2, , , , , , 
JP,Japan,Ibaraki, ,2/29/2020, ,-2,12,-9,-25,6,3, , , , , , 
JP,Japan,Ibaraki, ,3/1/2020, ,-5,10,24,-21,4,3, , , , , , 
JP,Japan,Ibaraki, ,3/2/2020, ,-8,0,-34,-20,-2,4, , , , , , 
JP,Japan,Ibaraki, ,3/3/2020, ,1,7,13,-18,0,3, , , , , , 
JP,Japan,Ibaraki, ,3/4/2020, ,-8,-2,-19,-22,-3,5, , , , , , 
JP,Japan,Ibaraki, ,3/5/2020, ,-2,2,-7,-20,-2,4, , , , , , 
JP,Japan,Ibaraki, ,3/6/2020, ,-6,2,16,-20,-2,4, , , , , , 
JP,Japan,Ibaraki, ,3/7/2020, ,-5,2,-9,-26,-2,5, , , , , , 
JP,Japan,Ibaraki, ,3/8/2020, ,-9,-1,-27,-30,-3,6, , , , , , 
JP,Japan,Ibaraki, ,3/9/2020, ,-3,1,5,-15,-2,3, , , , , , 
JP,Japan,Ibaraki, ,3/10/2020, ,-6,-2,-33,-21,-3,5, , , , , , 
JP,Japan,Ibaraki, ,3/11/2020, ,2,5,33,-16,-2,3, , , , , , 
JP,Japan,Ibaraki, ,3/12/2020, ,4,5,16,-16,-4,3, , , , , , 
JP,Japan,Ibaraki, ,3/13/2020, ,-1,4,21,-17,-3,4, , , , , , 
JP,Japan,Ibaraki, ,3/14/2020, ,-12,-8,-54,-34,-7,7, , , , , , 
JP,Japan,Ibaraki, ,3/15/2020, ,1,9,29,-16,-1,3, , , , , , 
JP,Japan,Ibaraki, ,3/16/2020, ,-1,1,-5,-13,-2,3, , , , , , 
JP,Japan,Ibaraki, ,3/17/2020, ,2,5,10,-16,-2,3, , , , , , 
JP,Japan,Ibaraki, ,3/18/2020, ,1,4,29,-15,-2,3, , , , , , 
JP,Japan,Ibaraki, ,3/19/2020, ,10,7,13,-10,-4,2, , , , , , 
JP,Japan,Ibaraki, ,3/20/2020, ,18,10,42,-24,-54,18, , , , , , 
JP,Japan,Ibaraki, ,3/21/2020, ,0,7,41,-11,-6,4, , , , , , 
JP,Japan,Ibaraki, ,3/22/2020, ,-4,5,41,-9,-2,3, , , , , , 
JP,Japan,Ibaraki, ,3/23/2020, ,0,-1,8,-14,-3,3, , , , , , 
JP,Japan,Ibaraki, ,3/24/2020, ,3,3,10,-15,-3,3, , , , , , 
JP,Japan,Ibaraki, ,3/25/2020, ,5,7,45,-12,-3,2, , , , , , 
JP,Japan,Ibaraki, ,3/26/2020, ,6,11,35,-14,-4,3, , , , , , 
JP,Japan,Ibaraki, ,3/27/2020, ,-3,8,21,-20,-5,5, , , , , , 
JP,Japan,Ibaraki, ,3/28/2020, ,-12,1,-29,-36,-5,7, , , , , , 
JP,Japan,Ibaraki, ,3/29/2020, ,-31,-16,-60,-51,-10,10, , , , , , 
JP,Japan,Ibaraki, ,3/30/2020, ,-1,3,5,-20,-6,5, , , , , , 
JP,Japan,Ibaraki, ,3/31/2020, ,0,6,7,-22,-5,4, , , , , , 
JP,Japan,Ibaraki, ,4/1/2020, ,-14,-2,-25,-29,-7,6, , , , , , 
JP,Japan,Ibaraki, ,4/2/2020, ,-7,5,6,-26,-8,6, , , , , , 
JP,Japan,Ibaraki, ,4/3/2020, ,-11,6,30,-28,-8,7, , , , , , 
JP,Japan,Ibaraki, ,4/4/2020, ,-17,4,20,-39,-10,8, , , , , , 
JP,Japan,Ibaraki, ,4/5/2020, ,-25,-1,-24,-44,-11,9, , , , , , 
JP,Japan,Ibaraki, ,4/6/2020, ,-10,4,11,-24,-8,6, , , , , , 
JP,Japan,Ibaraki, ,4/7/2020, ,-7,4,10,-29,-12,7, , , , , , 
JP,Japan,Ibaraki, ,4/8/2020, ,-14,1,23,-32,-10,7, , , , , , 
JP,Japan,Ibaraki, ,4/9/2020, ,-17,-2,-4,-35,-11,8, , , , , , 
JP,Japan,Ibaraki, ,4/10/2020, ,-17,4,5,-38,-12,9, , , , , , 
JP,Japan,Ibaraki, ,4/11/2020, ,-20,2,8,-48,-17,10, , , , , , 
JP,Japan,Ibaraki, ,4/12/2020, ,-30,-4,-19,-55,-15,11, , , , , , 
JP,Japan,Ibaraki, ,4/13/2020, ,-39,-23,-55,-46,-15,13, , , , , , 
JP,Japan,Ibaraki, ,4/14/2020, ,-12,5,1,-41,-13,9, , , , , , 
JP,Japan,Ibaraki, ,4/15/2020, ,-13,8,26,-40,-14,9, , , , , , 
JP,Japan,Ibaraki, ,4/16/2020, ,-16,3,-9,-44,-15,11, , , , , , 
JP,Japan,Ibaraki, ,4/17/2020, ,-19,7,4,-47,-16,12, , , , , , 
JP,Japan,Ibaraki, ,4/18/2020, ,-51,-28,-69,-70,-26,18, , , , , , 
JP,Japan,Ibaraki, ,4/19/2020, ,-29,1,11,-53,-17,10, , , , , , 
JP,Japan,Ibaraki, ,4/20/2020, ,-30,-10,-46,-50,-18,13, , , , , , 
JP,Japan,Ibaraki, ,4/21/2020, ,-21,-1,1,-47,-19,12, , , , , , 
JP,Japan,Ibaraki, ,4/22/2020, ,-26,-4,4,-48,-20,13, , , , , , 
JP,Japan,Ibaraki, ,4/23/2020, ,-24,-3,6,-47,-20,13, , , , , , 
JP,Japan,Ibaraki, ,4/24/2020, ,-30,-3,-7,-50,-21,15, , , , , , 
JP,Japan,Ibaraki, ,4/25/2020, ,-33,-4,-10,-56,-21,13, , , , , , 
JP,Japan,Ibaraki, ,4/26/2020, ,-38,-8,-3,-59,-21,12, , , , , , 
JP,Japan,Ibaraki, ,4/27/2020, ,-26,-7,-23,-48,-21,13, , , , , , 
JP,Japan,Ibaraki, ,4/28/2020, ,-18,0,-6,-48,-22,12, , , , , , 
JP,Japan,Ibaraki, ,4/29/2020, ,-14,-6,35,-64,-61,21, , , , , , 
JP,Japan,Ibaraki, ,4/30/2020, ,-17,2,5,-52,-30,16, , , , , , 
JP,Japan,Ibaraki, ,5/1/2020, ,-23,1,12,-56,-34,19, , , , , , 
JP,Japan,Ibaraki, ,5/2/2020, ,-35,-7,-11,-61,-27,14, , , , , , 
JP,Japan,Ibaraki, ,5/3/2020, ,-38,-7,-5,-60,-25,11, , , , , , 
JP,Japan,Ibaraki, ,5/4/2020, ,-9,-8,-1,-68,-72,29, , , , , , 
JP,Japan,Ibaraki, ,5/5/2020, ,-7,-4,25,-66,-72,29, , , , , , 
JP,Japan,Ibaraki, ,5/6/2020, ,-23,-16,-29,-72,-70,31, , , , , , 
JP,Japan,Ibaraki, ,5/7/2020, ,-20,0,2,-47,-22,13, , , , , , 
JP,Japan,Ibaraki, ,5/8/2020, ,-25,-2,10,-49,-23,15, , , , , , 
JP,Japan,Ibaraki, ,5/9/2020, ,-30,-6,-16,-57,-15,12, , , , , , 
JP,Japan,Ibaraki, ,5/10/2020, ,-29,-5,-28,-60,-18,11, , , , , , 
JP,Japan,Ibaraki, ,5/11/2020, ,-23,-4,-3,-43,-17,11, , , , , , 
JP,Japan,Ibaraki, ,5/12/2020, ,-21,-2,0,-46,-18,11, , , , , , 
JP,Japan,Ibaraki, ,5/13/2020, ,-21,-3,10,-47,-19,12, , , , , , 
JP,Japan,Ibaraki, ,5/14/2020, ,-19,-2,3,-46,-19,11, , , , , , 
JP,Japan,Ibaraki, ,5/15/2020, ,-22,1,5,-47,-19,13, , , , , , 
JP,Japan,Ibaraki, ,5/16/2020, ,-29,-10,-48,-59,-18,13, , , , , , 
JP,Japan,Ibaraki, ,5/17/2020, ,-23,-1,7,-50,-15,9, , , , , , 
JP,Japan,Ibaraki, ,5/18/2020, ,-17,-4,-17,-43,-15,10, , , , , , 
JP,Japan,Ibaraki, ,5/19/2020, ,-21,-8,-40,-48,-17,13, , , , , , 
JP,Japan,Ibaraki, ,5/20/2020, ,-14,3,-14,-43,-15,11, , , , , , 
JP,Japan,Ibaraki, ,5/21/2020, ,-13,0,-13,-43,-16,11, , , , , , 
JP,Japan,Ibaraki, ,5/22/2020, ,-20,-4,-23,-45,-16,13, , , , , , 
JP,Japan,Ibaraki, ,5/23/2020, ,-16,-2,-29,-50,-16,11, , , , , , 
JP,Japan,Ibaraki, ,5/24/2020, ,-16,0,22,-42,-12,8, , , , , , 
JP,Japan,Ibaraki, ,5/25/2020, ,-9,1,4,-33,-13,8, , , , , , 
JP,Japan,Ibaraki, ,5/26/2020, ,-9,0,-8,-36,-13,9, , , , , , 
JP,Japan,Ibaraki, ,5/27/2020, ,-8,3,16,-34,-12,8, , , , , , 
JP,Japan,Ibaraki, ,5/28/2020, ,-8,2,4,-34,-13,9, , , , , , 
JP,Japan,Ibaraki, ,5/29/2020, ,-12,2,6,-36,-13,10, , , , , , 
JP,Japan,Ibaraki, ,5/30/2020, ,-9,3,1,-38,-11,8, , , , , , 
JP,Japan,Ibaraki, ,5/31/2020, ,-12,2,5,-36,-9,7, , , , , , 
JP,Japan,Ibaraki, ,6/1/2020, ,-11,-2,-16,-27,-7,7, , , , , , 
JP,Japan,Ibaraki, ,6/2/2020, ,-8,0,2,-29,-9,7, , , , , , 
JP,Japan,Ibaraki, ,6/3/2020, ,-9,2,15,-29,-9,7, , , , , , 
JP,Japan,Ibaraki, ,6/4/2020, ,-8,1,2,-29,-10,7, , , , , , 
JP,Japan,Ibaraki, ,6/5/2020, ,-11,2,4,-30,-11,8, , , , , , 
JP,Japan,Ishikawa, ,2/15/2020, ,1,3,15,1,7,-1, , , , , , 
JP,Japan,Ishikawa, ,2/16/2020, ,-7,0,-33,-6,0,2, , , , , , 
JP,Japan,Ishikawa, ,2/17/2020, ,-2,2,-5,4,-1,1, , , , , , 
