"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25"
"小平市",1.76656212970041,0.577044477547751,0.3898083856843,-0.938715236902608,0.633970992268548,-0.819427334046434,-0.342740720798658,-0.624777898173999,0.48653258258191,-0.0416412002651026,-0.0625453060969787,-0.103469734266963,-0.358025083495092,0.177354325470452,0.128673153056325,-0.00125461734378468,0.085228091281832,-0.0544813672749498,0.0309238620466728,-0.0236655782729925,0.155385301206752,0.0213457933264274,-0.0046942297203029,0.0409058473831313,-5.81586064367e-05
"日野市",2.24545263232538,0.640306433016865,-0.51635303537975,-1.98252838676125,0.91686586947334,0.361560038295321,-0.421914168650583,-0.445453591015689,-0.34073469365567,-0.990394968062612,0.102556325630455,0.367483405683222,0.185702982414247,0.104053350962914,-0.0697614134934382,0.168556487225172,0.0849135738042342,-0.0378532236506522,0.347543530957659,-0.0631040383402323,-0.0513057600202582,-0.0158524902675953,0.065758826654922,0.0132579152695066,0.000566626891345837
"東村山市",2.34118888105404,0.91754165006242,-0.816345623179398,1.35524651407826,0.932762825300155,0.670385110814577,-0.700470150752062,-0.336586439387539,0.0189637428533861,-0.100993850883089,0.0594655978912246,-0.0803961813522972,0.508051035414417,-0.0540131268324894,0.0590131857134072,0.148457779661169,-0.120334997416341,-0.0459175445042155,-0.0773949487940531,-0.0416164274507449,0.163977672889297,-0.0949702779419238,-0.0740848787193483,-0.00265530010019477,-0.000687079044360778
"国分寺市",1.08530268128729,-0.53963232298731,2.44949780067392,1.47612687152327,1.04029670834785,-0.391971803498978,-0.0832207627149059,-0.231572641984005,0.764627748529771,-0.553961003707795,0.262770780390799,0.26453605010945,-0.692036894648511,-0.509162044505887,0.0972993534842741,0.307753067855611,-0.111478993399567,0.214435313977358,0.0721055057596027,0.0898497160992956,0.148544344647869,0.0203970183511685,0.124304077778384,0.00336087974001005,-0.000201158840099201
"国立市",-0.364434169657209,-1.14513458241694,0.921881220720949,1.432056147828,1.306429527637,-0.421101224128578,0.402404936388944,-0.436043668976208,-1.28415536683517,1.01392717564096,-0.294159072187534,0.777282151732439,-0.319378845557989,0.801174010105851,-0.0929247031297666,-0.187532600809255,-0.0039409614109901,0.153356744916115,0.0364453112555105,0.0507654984160645,0.0643506593629108,-0.00552593722705071,-0.046375861709573,0.00733733455489384,-9.62296269101814e-05
"福生市",1.09753754756621,0.0303576111147566,-0.0969283296084017,0.688964100247096,-0.0170417530706372,-1.16131721568344,0.64223239261607,0.340935051578667,-0.988621738935207,0.324238731978693,0.0409278171598069,-0.781468497276879,1.00058702614789,-0.345870387166788,0.137832098921399,-0.171985884900399,-0.264867761949627,-0.081488992831966,-0.332127977454091,0.183406001931482,-0.164138765316447,-0.0984607011727201,0.0552872747787882,0.0314045565992688,0.00054778062580236
"狛江市",1.44430233472395,-0.884524697927809,-0.09490323024637,0.412229952328789,-0.082662087076614,-1.17771161069257,0.115080187478246,-0.41140309670876,1.18267797858216,-0.688804484383975,0.378300130514314,0.327026084518726,0.305603258321466,-0.58476555357421,0.0647796889260771,-0.0514835429033128,0.038069081447543,0.040791729601153,0.227481920092478,-0.00917414320435163,-0.247250247639091,0.0557171816434958,0.0280094779585851,0.0280226806968927,-7.37562750973523e-05
"東大和市",2.34941856256494,0.598008792277906,0.198846210544699,0.6334106115759,0.496425221970956,0.0704199708229435,-0.148436483994506,0.960709166095497,-0.123318403741122,0.86769114026684,1.17094020045788,0.476735495842244,0.165081387406998,-0.420161426691327,0.256316158629066,-0.0844837428244146,0.201122444355266,0.0700896868663221,-0.119328069519995,-0.118103673902127,-0.127089595945723,0.147620515371917,-0.114052054226806,0.0703910701493194,-3.09257232258767e-05
"清瀬市",2.15910473265649,1.87174450817121,-3.19702788425347,3.45770985076345,0.464630503695344,1.57604455444558,-1.3224467248184,-1.22136233127791,0.366776203240468,0.0115671164865418,-1.46577529183881,-0.966065999354049,-0.749981441320918,-0.136430860388962,0.150732950790371,-0.0616871452989642,0.140775508642115,0.00280156562715612,-0.0121008207372561,0.159393198498213,-0.0149370381547563,0.0505734278466806,-0.0027624343811741,0.0251006526994572,0.000355754934964718
"東久留米市",2.73874903884444,0.738356149032303,-0.466489774748862,0.753102110223009,0.251381203508309,-1.40026342652076,-1.37253819715169,-0.226281072449034,1.87810428302385,0.81955328681393,0.188367569384573,0.373838627648201,0.523446228279354,0.0221846466672008,-0.149731366925566,-0.350323275129652,-0.152060658374696,-0.0308742380524064,0.149066005939694,-0.109395092602879,0.0528383021464253,-0.0728956407832426,0.0624340763705377,-0.0395199461963522,0.000438464301652343
